"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"18160",6,8,17,5,4,4,34,48,22
"18162",1,2,3,3,0,3,5,2,0
"18163",0,0,1,1,1,1,0,3,2
"18164",8,6,7,12,10,16,6,15,9
"18166",22,26,27,20,18,34,25,42,24
"18167",56,49,65,49,68,102,68,91,53
"18168",0,0,0,0,0,0,0,0,0
"18169",0,0,0,0,0,0,0,0,0
"18171",3137,3915,3939,3393,3326,4381,2935,3820,3083
"18173",9,5,7,6,2,9,9,9,7
"18174",1743,1827,2037,1994,2029,2479,1788,2073,1542
"18175",66,129,121,335,345,363,185,250,195
"18176",1658,1958,1933,1982,1735,2497,1839,2225,1660
"18181",909,1032,1017,1042,956,1144,1176,1357,906
"18183",1,0,1,1,1,1,0,1,0
"18185",0,0,0,2,3,0,1,1,0
"18186",116,163,85,141,124,142,200,213,154
"18187",1412,1879,1914,986,1227,1387,1028,1132,881
"18188",153,142,169,97,91,106,186,285,217
"18189",33,41,34,16,10,13,13,11,13
"18190",4,7,2,3,5,9,9,2,3
"18191",0,2,0,0,3,4,2,0,0
"18193",3354,4164,4330,3590,3402,4695,4389,5431,3703
"18194",2661,2793,2362,3009,2475,3022,1786,2310,1518
"18195",2024,2451,2125,2686,2460,2965,2157,2706,1722
"18196",2,2,0,2,1,0,1,2,0
"18197",25,36,42,21,29,40,42,70,36
"18198",2,0,0,2,0,1,1,0,0
"18201",598,615,615,718,675,818,553,761,471
"18203",1081,1201,1194,1329,1253,1571,1198,1472,1206
"18205",0,0,0,0,0,0,0,0,0
"18207",120,125,131,95,112,133,122,151,127
"18208",1,2,0,0,1,0,0,0,0
"18209",3,1,2,1,2,5,5,5,3
"18211",0,0,0,0,0,0,1,0,0
"18212",93,127,104,113,97,114,172,241,142
"18213",1,1,0,1,1,2,3,4,2
"18214",0,0,1,2,0,5,0,2,0
"18216",0,0,0,0,0,0,0,0,0
"18217",1,0,0,0,0,0,0,0,0
"18218",390,422,388,1066,931,1273,1017,1298,1047
"18220",10244,11865,11038,13247,12305,14503,11918,15088,10457
"18221",3594,3776,3811,3467,2897,3800,3621,4906,3650
"18222",2220,2908,2813,2551,2251,3027,2340,2915,2076
"18223",15,7,24,10,14,17,27,49,19
"18226",1985,2286,2199,2570,2254,2537,2414,3253,2115
"18227",280,265,217,389,430,635,518,612,342
"18230",172,108,104,98,84,97,209,348,227
"18231",1,0,0,1,0,2,1,1,0
"18232",0,0,0,0,0,0,0,0,0
"18241",0,0,0,0,0,0,0,0,0
"18242",5840,6905,6331,4950,4358,6308,5581,7218,5256
"18245",18605,18671,19935,18011,16587,19951,14725,18909,14583
"18247",1565,1584,1699,1345,1351,1592,1800,2401,1804
"18249",0,0,0,0,0,0,0,0,0
"18256",0,0,0,0,0,0,1,0,1
"18260",2266,2867,2851,3029,2998,3979,2789,3781,2728
"18261",6,28,10,4,4,7,4,6,1
"18263",9618,12290,11927,12294,11121,15197,11555,13352,10903
"18285",0,0,0,0,0,0,0,0,0
"18286",1431,1559,1379,1749,1551,1912,1530,1761,1147
"18291",0,0,1,0,0,1,2,1,2
"18292",0,0,0,0,0,0,0,0,0
"18293",21516,25645,25826,20338,17910,22686,18983,22917,16022
"18294",377,473,419,436,418,454,376,593,419
"18295",0,0,1,0,0,0,0,0,0
"18300",17022,17331,17312,13021,12333,14423,12044,14480,10358
"18301",55,54,50,38,57,68,76,131,46
"18302",2,3,5,8,4,10,3,8,8
"18307",0,1,0,0,0,0,0,0,0
"18310",0,0,0,0,0,0,0,0,0
"18312",0,0,0,0,0,0,0,0,0
"18313",0,0,0,0,0,0,0,0,0
"18314",0,0,0,0,0,0,0,0,1
"18315",0,0,0,0,0,0,1,0,0
"18316",0,0,0,0,0,0,0,0,0
"18317",0,0,0,0,0,0,0,0,0
"18321",0,0,0,0,0,0,0,0,0
"18322",0,0,0,0,0,0,0,0,0
"18323",0,0,0,0,0,0,0,0,0
"18324",0,0,0,0,0,0,0,0,0
"18328",0,0,0,0,0,0,0,0,0
"18329",0,0,0,0,0,0,0,0,0
"18330",0,0,0,0,0,0,0,0,0
"18331",0,0,0,0,0,0,0,0,0
"18332",0,0,0,0,0,0,0,0,0
"18341",0,0,0,0,0,0,0,0,0
"18343",0,0,0,0,0,0,0,0,0
"18344",0,0,0,0,0,0,0,0,0
"18345",0,0,0,0,0,0,0,0,0
"18346",0,0,0,0,0,0,0,0,0
"18347",0,0,0,0,0,0,0,0,0
"18348",0,1,0,0,0,1,0,0,2
"18349",0,0,0,0,0,0,0,0,0
"18350",0,0,0,0,0,0,0,0,0
"18351",0,0,0,0,0,0,0,0,0
"18352",0,0,0,0,0,0,0,0,0
"18354",0,0,0,0,0,0,0,0,0
"18356",2,6,2,2,1,2,2,1,0
"18357",0,0,0,0,0,0,0,0,0
"18358",0,0,0,0,0,0,0,0,0
"18359",0,0,0,0,0,0,0,0,0
"18361",0,0,0,0,0,0,0,0,0
"18362",0,0,0,0,0,0,0,0,0
"18363",0,0,0,0,0,0,0,0,0
"18365",0,0,0,0,0,0,0,0,0
"18366",0,0,0,0,0,0,0,0,0
"18367",0,0,0,0,0,0,0,0,0
"18368",0,0,0,0,0,0,0,0,0
"18369",0,0,0,0,0,0,0,0,0
"18370",0,0,0,0,0,0,0,0,0
"18372",0,0,0,0,0,0,0,0,0
"18373",0,0,0,0,0,0,0,0,0
"18377",1,0,1,0,2,0,2,1,1
"18378",731,697,808,263,237,386,275,393,395
"18379",0,0,0,0,0,0,0,0,0
"18383",23,29,27,38,30,37,27,29,17
"18386",12,20,29,12,20,15,20,38,19
"18387",0,0,0,0,0,0,0,0,0
"18389",0,0,0,0,0,0,0,0,0
"18390",3,3,6,9,7,8,11,11,8
"18391",2218,2415,2392,2841,2620,2828,2338,2982,1893
"18392",252,307,282,251,261,306,330,450,274
"18393",582,757,690,850,712,937,789,1019,599
"18399",0,3,0,10,0,0,4,3,0
"18400",6253,6674,6871,6010,5597,6666,5344,6426,5468
"18405",0,0,0,0,0,0,0,0,0
"18406",2,0,0,0,0,0,1,2,2
"18407",0,0,0,0,0,0,0,0,0
"18408",1211,1606,1439,1927,1682,2227,1915,2672,1919
"18412",7743,8801,9385,8462,8342,10299,8322,10623,8484
"18413",0,1,3,1,2,1,1,5,5
"18414",1,2,3,1,0,1,1,2,0
"18415",748,1142,882,1251,1055,1598,1242,1569,1015
"18416",1148,1593,1149,1020,886,1267,1248,1653,954
"18417",0,1,1,0,0,0,1,1,3
"18419",2,3,7,6,4,10,6,5,4
"18420",0,0,0,0,0,0,0,0,0
"18423",5,2,6,0,2,3,4,4,1
"18424",0,0,0,0,0,0,0,0,0
"18426",2235,2107,2298,2187,2090,2559,1735,2541,1946
"18429",1,0,0,1,1,4,1,2,7
"18430",1,5,1,4,5,7,9,14,6
"18431",0,0,0,0,0,0,1,0,1
"18432",4120,5108,4877,4940,4375,5282,5347,6987,3857
"18436",5,6,7,11,7,12,17,11,12
