"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"11287",1,0,1,0,0,0,1,1,0
"11298",0,0,0,1,1,1,0,1,0
"11302",1,3,4,2,5,0,4,3,9
"11303",60,60,118,37,49,41,33,43,37
"11304",1,2,0,0,0,3,1,2,1
"11305",413,442,464,328,377,471,459,576,361
"11306",2132,2857,2514,2589,2393,3407,2274,2783,2123
"11307",31,58,55,29,37,48,48,95,38
"11308",4226,5463,5045,5417,5015,6288,4946,6572,4215
"11350",3045,4051,3887,3710,3516,4544,3297,4409,2815
"11352",742,798,758,825,818,1161,897,795,601
"11354",0,0,0,0,0,0,0,0,0
"11363",7385,8927,8388,6603,6210,7719,6294,8085,6065
"11364",7084,8239,9205,8539,7910,10621,7775,9905,9002
"11370",11510,12979,14097,11921,11089,14296,11570,13966,12558
"11409",16234,17526,19678,13944,13255,16664,13474,16910,13729
"11416",1463,1744,1721,1618,1487,2030,1866,2506,1757
"11418",3,4,1,3,1,3,2,3,7
"11419",135,172,166,168,160,220,161,173,139
"11421",624,815,679,980,1102,1447,971,1114,727
"11423",99,170,138,118,131,154,189,209,127
"11425",0,0,0,0,0,0,1,0,0
"11426",1278,1664,1705,1661,1472,2099,1840,2071,1341
"11428",5501,6688,6298,7189,6125,7844,5799,7197,5082
"11429",32445,36478,34211,40809,34169,40487,31405,39409,25996
"11430",13954,18161,18523,17966,16337,21099,17073,23526,16061
"11431",2974,3370,3151,3332,2857,3841,3199,4340,3229
"11432",1091,1200,1293,1195,1083,1545,1273,1617,1116
"11433",3071,3640,3175,6248,5738,6403,3916,4772,3396
"11434",0,0,0,0,0,0,0,0,0
"11435",37,46,42,28,23,38,26,27,31
"11438",11,12,11,6,12,9,12,21,8
"11440",0,0,0,0,0,0,0,0,0
"11441",0,0,0,0,0,0,0,1,0
"11443",35,56,48,61,81,71,72,80,64
"11444",166,159,179,126,134,188,151,149,141
"11447",0,1,0,0,0,0,0,0,0
"11448",1,2,0,0,1,0,1,4,1
"11449",0,0,0,0,0,0,0,0,0
"11450",0,0,0,0,0,1,0,0,0
"11451",5,4,11,13,10,12,11,5,8
"11459",356,414,300,891,775,962,1236,1804,1219
"11461",99695,137242,116961,114916,101861,128564,110740,160313,113412
"11464",0,0,2,0,0,0,0,0,0
"11465",111461,137152,129901,139659,126490,164375,131603,177624,136156
"11468",0,2,1,2,2,4,2,5,0
"11470",1,0,0,0,0,1,0,1,1
"11471",0,1,1,0,3,1,2,1,0
"11472",4,7,3,6,8,8,9,12,8
"11474",9,4,1,11,13,13,8,4,8
"11475",4,5,5,7,6,7,8,8,5
"11477",477,580,602,523,533,639,471,534,399
"11479",2787,3819,3708,3076,3013,3842,2470,3609,2483
"11480",1552,1997,1919,2227,1918,2572,2324,2940,2273
"11481",400,470,460,372,445,557,455,528,368
"11482",268,246,310,90,93,125,169,245,142
"11484",138,197,174,66,95,100,109,163,134
"11486",326,436,312,401,323,441,479,710,475
"11487",3283,4686,4032,4597,4203,5429,4484,5627,4053
"11488",19,15,20,20,22,20,24,35,10
"11489",1,2,1,0,2,1,3,2,0
"11490",1342,1523,1659,670,642,828,1759,2670,1984
"11491",1338,1546,1601,1288,1190,1484,1436,1737,1337
"11492",12,16,15,27,18,34,32,37,22
"11495",0,0,1,1,1,0,1,1,0
"11496",142,156,191,118,88,106,140,159,110
"11497",0,0,0,0,0,0,0,0,0
"11498",24,36,33,22,26,26,28,40,24
"11499",0,0,0,0,0,2,1,1,0
"11500",5,9,12,7,7,5,5,4,5
"11501",23,15,21,20,36,31,37,53,27
"11502",2857,3621,3460,3522,3324,4440,3244,4321,3355
"11504",0,0,1,1,0,0,0,0,1
"11512",13417,13762,15733,12184,12850,16580,11214,13505,10718
"11513",66,96,130,77,100,171,144,294,135
"11514",117,174,156,20,38,42,35,46,21
"11515",408,512,436,478,476,530,465,602,359
"11516",1,1,4,0,0,0,2,4,3
"11517",1,4,0,11,3,6,9,13,8
"11518",9665,11427,11370,9771,9075,11270,8885,11628,8668
"11519",0,1,0,0,0,0,0,0,0
"11520",3771,4633,4972,4804,4369,5619,4945,6910,5595
"11522",2621,2235,3383,3762,4279,4024,2647,3656,2790
"11529",5,0,3,7,4,7,3,5,2
"11532",11949,11326,14414,12384,11554,15348,10592,14107,12540
"11534",8083,8873,9886,7428,7032,9626,6805,8832,7340
"11535",110,158,131,280,250,311,407,395,315
"11536",15,13,15,7,10,13,13,19,16
"11537",0,1,0,0,0,0,0,1,0
"11538",351,744,692,610,507,644,698,783,390
"11539",23,30,31,27,30,24,76,155,72
"11540",20,29,40,39,35,26,57,89,39
"11541",294,237,331,422,311,419,270,311,346
"11542",0,0,4,0,0,4,0,4,4
"11544",1485,1581,1839,1524,1477,1856,1474,1936,1666
"11545",1956,2443,2430,2065,1956,2333,2085,2838,1823
"11546",1008,1189,1105,1172,1140,1443,1230,1622,1120
"11548",1,0,1,0,1,2,1,2,1
"11549",7,4,6,4,6,15,8,15,13
"11550",0,0,0,0,0,0,0,0,0
"11551",10611,12079,11953,7487,6767,8092,6937,8467,6137
"11552",6,7,3,7,8,10,12,9,4
"11553",0,0,0,0,0,0,0,0,0
"11554",2,2,3,1,2,1,0,7,0
"11555",88,76,73,104,93,152,132,133,103
"11556",0,1,0,2,0,5,3,6,3
"11564",2344,2625,2574,2496,2189,2614,2603,3607,2301
"11565",43,55,51,24,15,30,42,80,52
"11566",3252,4446,3929,5291,4781,6641,4247,5275,4231
"11567",90,102,104,140,110,120,123,157,93
"11568",2,2,3,1,1,4,7,3,2
"11569",1840,2237,2354,2185,2067,2853,2206,2873,2071
"11571",0,0,0,0,0,0,0,0,0
"11572",0,0,0,0,0,0,0,0,1
"11576",5,5,3,6,6,9,6,8,5
"11593",900,863,1061,947,893,1129,773,965,838
"11595",0,0,0,0,1,0,0,0,0
"11596",68,56,81,74,79,97,72,82,80
"11600",0,1,1,0,5,1,1,3,1
"11601",316,316,298,321,322,418,220,345,222
"11602",0,0,0,0,0,0,0,0,0
"11603",2312,2658,2670,2638,2784,3622,3566,4245,3113
"11604",25,16,22,30,22,25,22,27,19
"11605",787,881,837,837,738,983,1078,1400,1075
"11606",109,103,89,84,64,80,91,112,63
"11607",2,1,1,1,1,5,3,3,0
"11608",3,4,1,0,2,3,1,0,0
"11609",0,0,0,0,1,2,0,0,0
"11610",1242,1458,1456,1173,1040,1282,1374,1903,1340
"11611",17,18,17,16,13,15,20,41,23
"11614",0,0,0,0,0,0,0,0,0
"11615",3335,4546,4072,3624,3463,4058,2946,4816,2724
"11622",464,539,504,580,571,791,593,840,553
"11624",22,26,22,29,36,27,34,67,43
"11625",0,1,0,0,0,0,0,0,1
"11628",0,6,0,1,0,2,2,3,3
"11629",1,1,3,4,2,4,2,6,4
"11630",2976,4249,3538,3987,3739,5034,3299,4184,3034
"11632",1299,1471,1535,1395,1310,1484,1163,1484,1079
"11634",17,6,8,3,3,5,7,5,1
"11636",8,8,8,10,14,6,21,57,26
"11637",13059,13955,15624,16716,14469,18881,13035,16575,13169
"11639",360,296,576,4110,4024,5577,2348,2736,2818
"11640",4671,5224,5645,4700,4192,5214,4679,6116,4298
"11641",128,152,191,87,104,93,88,127,94
"11642",3,2,0,1,2,4,1,3,1
"11643",0,0,0,0,0,0,0,0,0
"11647",0,0,1,0,0,0,2,1,0
"11648",1,3,4,3,2,1,1,2,0
"11650",5,8,1,1,2,1,1,3,9
"11651",7322,7978,7869,8018,7138,8615,6463,8219,5841
"11652",1840,1985,1927,1803,1573,1826,1595,2209,1385
"11655",7997,10212,10367,12417,10274,13262,9016,11807,8774
"11656",4,7,5,3,6,10,12,18,8
"11657",5,2,4,26,14,17,16,21,10
"11658",891,1051,1025,898,919,1164,1254,1555,1038
"11666",679,888,772,705,615,807,794,1054,599
"11668",15964,17521,18251,42286,37026,55193,31254,37677,33247
"11669",32064,34389,37602,24405,22685,25805,22528,28689,21340
"11670",0,1,0,0,0,2,1,0,0
"11671",6821,8281,7927,7584,7117,8890,5149,5880,4604
"11674",45926,50705,51598,63189,56956,72443,51084,66130,50934
"11676",406,358,317,537,395,520,431,627,358
"11677",1887,2155,2083,1909,1711,2120,2201,3128,2195
"11682",0,0,0,0,0,0,0,0,0
"11684",4,3,4,3,8,5,8,10,6
"11685",1,1,0,0,0,0,0,0,0
"11686",0,0,0,0,0,0,0,0,0
"11687",2,5,2,2,1,2,1,1,0
"11688",18,24,21,14,18,27,25,22,19
"11689",32,39,27,30,29,47,32,41,23
"11690",21,25,23,31,29,19,24,41,22
"11692",1774,1892,1970,2164,1885,2357,1851,2348,1859
"11694",0,0,0,0,0,0,0,0,0
"11695",1,6,4,6,5,5,4,8,3
"11698",0,0,0,0,0,0,0,0,0
"11699",122,167,93,188,140,185,206,307,189
"11702",3051,3357,3770,2808,2847,3820,3782,4658,3527
"11704",0,0,0,0,0,0,0,0,0
"11705",7,7,6,12,7,11,5,16,6
"11717",1716,2348,2040,2183,1980,2499,2033,2403,1753
"11720",0,1,0,0,0,0,0,0,0
"11722",3,40,28,22,25,27,10,46,26
"11727",782,881,917,1218,1268,1662,1027,1298,1269
"11730",0,0,0,0,0,0,0,0,0
"11731",0,0,0,0,0,0,0,0,0
"11732",9929,10898,11564,11038,10338,13151,9231,12409,9201
"11733",7,2,9,2,4,4,1,8,4
"11735",5599,7762,7204,6199,5498,8194,5250,7305,5179
"11736",2762,3621,3372,3225,3062,3990,3359,4214,2799
"11737",7338,7637,8529,6382,5728,7553,6777,9524,8053
"11739",1983,2015,2246,3642,3015,3894,3401,4658,3611
"11740",51981,57741,52890,61821,53690,65309,51707,66605,44652
"11744",18173,20750,20151,23346,20376,25743,18103,23586,17273
"11745",70,86,46,82,91,79,78,96,70
"11746",12768,16138,14648,19042,15845,20051,17435,24013,16686
"11747",753,716,755,760,686,924,836,1143,814
"11749",146,150,146,129,132,162,275,532,283
"11750",7600,8928,8961,9962,9401,12294,7486,9261,7177
"11752",219,125,191,114,94,107,88,110,84
"11754",1,4,5,4,3,4,5,3,1
"11757",4430,5023,5026,5166,4483,5737,5192,6739,4881
"11758",102686,117532,161126,55507,55804,74330,62229,73060,74974
"11761",8,2,1,5,4,1,4,6,4
"11764",5780,6621,6752,6539,6095,7575,6281,7917,5590
"11765",3805,5050,5049,4357,4138,5394,4853,6122,4511
"11766",2507,2632,2601,3242,2811,3443,2509,3042,2138
"11767",821,862,791,1070,970,1095,658,946,582
"11768",5408,5810,6186,6388,5793,7354,5892,7570,5764
"11769",5404,5404,5992,5968,5098,6695,5328,6481,5454
"11770",0,1,1,0,1,0,0,1,2
"11771",3066,3605,3492,3863,3436,4027,3526,4635,3107
"11772",3740,4770,4578,5305,4804,6021,4969,6224,4811
"11773",9638,11007,10342,11516,10529,12438,9057,11557,8482
"11774",5173,6423,6344,6054,5151,6833,6057,8017,5619
"11775",7,10,11,9,10,11,14,17,6
"11776",4295,5202,5068,5664,5171,6410,4879,6387,4231
"11777",2062,2550,2402,2440,2121,2739,2493,3433,2661
"11778",1371,1605,1735,1439,1312,1633,1464,1911,1358
"11781",659,757,758,694,683,852,723,943,623
"11782",500,546,593,707,602,888,458,501,428
"11783",445,585,544,446,377,576,614,831,548
"11784",3,2,1,1,4,3,1,0,3
"11785",25,26,15,39,33,30,24,49,42
"11787",487,507,507,610,530,736,470,553,440
"11789",2374,3230,3188,3247,2824,4193,3124,3726,2436
"11790",1,0,0,0,0,0,2,1,0
"11792",1951,2193,2185,2156,2071,2489,1971,2533,1936
"11793",1547,1795,1920,1816,1637,2119,1701,1999,1589
"11796",922,1087,1073,863,809,959,802,1128,841
"11797",1070,1152,1347,1073,1067,1549,1235,1332,1082
"11798",2560,3780,3476,3799,3551,5210,4353,5570,3929
"11799",1536,1609,1557,1613,1164,1848,1730,2409,1873
"11800",3709,4917,4408,4630,4161,5569,5073,6729,4253
"11801",1,0,0,0,0,0,0,0,0
"11803",542,766,530,1231,1062,1361,946,1179,724
"11804",5875,6795,6934,5665,5712,7330,6690,9294,6831
"11806",47,1715,212,7,11,9,12,10,10
"11807",66,55,58,97,104,127,79,99,70
"11808",1,88,12,16,15,37,23,33,13
"11810",1265,1718,1554,974,897,1328,1105,1351,1017
"11811",3,7,3,3,2,6,7,3,5
"11812",21,16,11,4,3,4,2,6,4
"11813",46,80,38,22,16,30,30,49,30
"11814",4,13,6,1,3,2,2,4,4
"11815",7,2,3,4,6,10,4,12,8
"11816",121,98,112,137,161,177,148,189,137
"11818",8,11,6,8,6,18,4,13,9
"11819",824,934,890,886,801,981,796,1101,642
"11820",12148,14968,14685,18839,17310,22535,16490,19930,15434
"11821",3701,4159,4501,3942,3758,4825,3687,4773,4222
"11826",4632,5322,6155,4531,4488,5719,4739,6262,3716
"11827",0,0,0,0,0,0,0,0,0
"11828",6,8,9,3,4,8,6,12,9
"11829",350,647,451,454,327,480,360,516,261
"11830",0,0,0,0,0,0,0,0,0
"11831",0,0,0,0,0,0,0,0,0
"11832",23,44,46,28,34,53,39,48,38
"11833",14592,16733,16678,10934,10624,16333,10707,19738,14246
"11834",2034,2547,2374,2531,2151,2781,2392,3051,1868
"11835",5,6,6,7,11,16,11,15,4
"11836",3074,3320,3414,3576,3373,4075,3059,3723,2597
"11837",59394,60882,64273,74496,68478,83217,68423,92724,65345
"11838",279,308,256,267,295,352,607,1038,670
"11839",1467,1846,1282,3259,3441,4058,3561,4459,3869
"11840",19249,22532,22468,23134,19660,25070,19465,24895,17681
"11841",331,363,390,406,374,546,425,498,356
"11842",5803,7035,7805,6789,6352,8300,6459,8035,6580
"11843",7565,8833,9031,7903,7470,9861,7940,10031,6997
"11844",5038,5592,5678,4897,4678,5734,4071,5135,4031
"11845",12125,15176,15356,12985,12243,15453,12090,16211,12788
"11846",4,1,3,3,1,0,7,3,2
"11847",311,685,544,212,267,285,465,660,483
"11848",12264,14840,15523,13269,12401,16479,12677,17063,13757
"11852",6198,8774,7248,9436,9207,12369,11333,14631,11831
"11853",5930,7324,7693,5770,5281,7181,5120,6665,5473
"11854",602,863,725,313,271,400,356,530,391
"11855",2059,3617,2846,2951,2838,3971,3399,4273,2824
"11856",35,47,34,37,49,43,36,47,30
"11857",117,95,127,87,109,235,136,248,139
"11858",172,213,200,130,130,148,175,225,203
"11859",7,5,7,3,5,7,7,8,5
"11861",3444,4308,4367,5539,5599,7287,5374,6984,6262
"11863",1280,1675,1544,1511,1400,1757,1410,1878,1286
"11864",60,91,53,199,174,255,208,251,150
"11865",583,1002,728,1032,875,1106,1412,1981,1299
"11867",18833,22853,19023,22045,18852,21381,17545,23495,15866
"11870",2,0,2,1,0,0,2,1,0
"11871",88,98,84,17,26,23,51,50,55
"11872",1,3,1,2,0,1,3,7,0
"11875",25,16,13,17,17,26,30,30,17
"11876",5,2,0,3,1,3,4,1,1
"11877",302,293,297,346,348,359,384,483,343
"11878",16,10,7,9,7,8,15,10,3
"11881",1288,1597,1414,1660,1525,1843,1330,1721,1161
"11883",778,879,987,976,910,1143,988,1314,1047
"11886",3927,4657,4619,3714,3554,4577,3452,4335,3384
"11889",2,2,4,0,2,2,0,1,3
"11890",0,0,0,0,0,0,0,0,0
"11891",381,402,310,333,305,359,302,453,214
"11898",273,320,275,251,166,232,321,493,275
"11899",6,1,2,4,4,4,1,1,2
"11905",13,15,15,17,17,13,17,24,10
"11906",476,448,532,510,500,626,557,797,490
"11907",932,1143,1109,1163,1127,1509,1148,1354,953
"11908",1719,1776,1835,1665,1635,2186,1861,2232,1683
"11909",1114,1469,1532,1506,1352,1931,1614,2163,1541
"11910",6216,5393,4131,10600,11209,12890,11844,15778,12565
"11911",7403,6889,7451,8891,8356,11065,8974,10532,8124
"11920",765,1008,1015,883,769,1287,926,1084,751
"11921",1561,1642,1357,1477,1378,1531,1543,1740,998
"11922",0,4,4,1,0,3,1,2,4
"11923",0,0,0,0,0,0,0,0,0
"11924",0,0,0,3,0,1,1,0,0
"11925",51,53,50,98,75,89,96,126,78
"11927",1511,1405,1418,1782,1615,1983,1579,2104,1490
"11928",119306,125464,140392,134613,124199,155177,136223,161751,116574
"11931",46251,53788,59809,60952,56134,74068,58413,74542,58317
"11932",3,4,1,2,3,3,5,9,4
"11933",2707,2898,3184,2853,2653,3370,2600,2989,2418
"11936",1,2,0,0,0,0,0,0,1
"11937",23,8,21,9,5,18,12,11,5
"11938",10035,13481,13293,11751,10874,14498,14403,18162,13178
"11941",5,5,2,7,7,11,7,6,4
"11944",4,3,0,3,2,3,11,20,4
"11945",2,2,2,1,0,1,1,6,3
"11946",87201,96283,103374,106563,94867,127279,91009,108466,90170
"11947",104332,112206,119479,115409,102202,132892,97596,116374,94359
"11949",14325,16128,15737,19241,17637,23894,16319,20853,15768
"11950",18899,20513,21463,24708,21970,30833,21253,26478,22188
"11951",11756,11839,11490,14205,12199,14706,11945,15619,10324
"11957",10560,11275,10669,12813,10938,12864,9883,13108,8702
"11958",5885,6058,6003,6586,5932,7458,5485,6137,5571
"11964",2484,3133,2947,3092,2913,3941,3387,4388,3229
"11966",3076,3405,3948,3530,3379,4274,3119,3621,2993
"11972",3201,3625,3739,4168,3835,4773,3734,4746,3662
"11973",3543,3765,4569,4552,4298,6200,3794,4807,4260
"11974",2497,2721,2814,3144,2867,3692,2473,3215,2328
"11975",2456,2771,2574,3664,3398,3880,2913,3642,2496
"11977",819,1149,1122,982,924,1347,1180,1429,1018
"11979",5,9,5,15,4,14,24,23,16
"11980",5405,6881,7486,6111,5776,8294,6877,7940,6144
"11981",7433,8831,8639,9494,8880,10603,8108,10005,7687
"11982",7,2,9,11,8,16,19,20,13
"11983",12919,13655,13002,10707,10113,11425,9372,11775,8840
"11984",8566,8798,10243,9814,8855,11955,9047,11497,9932
"11987",1457,1770,1708,1890,1687,2324,1912,2398,1525
"11988",60,55,68,43,35,66,64,78,50
"11989",13,6,7,9,9,6,8,8,9
"11990",1456,1912,1917,1746,1718,2299,1556,1709,1197
"11991",9027,10366,9821,10946,9674,11730,7181,9320,6884
"11992",1196,1281,1396,1246,1235,1404,1093,1478,1197
"11993",4365,4611,4606,5522,4868,6139,4788,6395,4126
"11994",0,2,10,0,3,3,4,2,4
"11997",108,179,201,80,67,86,73,75,61
"11998",0,0,0,0,0,0,0,0,1
"12000",39,32,49,28,25,31,70,92,57
"12005",2410,2659,2965,2673,2417,3188,2546,3019,2285
"12006",1445,1379,1319,1215,1150,1374,1183,1353,782
"12007",114,161,182,44,48,60,73,82,47
"12009",537,565,520,502,491,535,641,722,522
"12010",11917,14859,14117,9379,9229,11315,10071,12998,8810
"12012",7,13,17,8,12,16,24,27,19
"12013",1104,1630,1497,1356,1393,1891,1194,1470,1079
"12014",37,44,40,28,28,48,50,61,37
"12015",1396,1448,1598,1778,1586,2090,1558,2006,1587
"12017",12161,12686,14582,15360,13896,19070,12142,15301,13598
"12018",5084,6419,5867,6562,5503,6610,4812,6193,4334
"12020",0,0,0,0,0,0,0,0,0
"12021",253,298,284,296,243,340,341,474,243
"12022",0,0,0,0,0,0,0,0,0
"12023",15,21,19,23,13,17,17,34,21
"12028",2432,2435,2844,2829,2656,3368,2766,3449,3149
"12029",9,13,15,6,10,8,11,24,14
"12032",1,3,1,1,1,0,1,1,0
"12033",388,476,472,433,452,503,452,645,407
"12034",12130,13137,12761,14173,12004,14789,12254,16349,11280
"12035",1,0,3,1,0,2,1,1,1
"12036",1826,1770,1880,1423,1316,1627,1681,2430,1610
"12038",1078,1650,1291,2385,2237,2901,1799,2294,1432
"12039",1991,2047,2131,1972,1875,2213,1541,2050,1425
"12040",552,538,613,502,455,585,517,705,523
"12041",2404,2585,2284,2832,2472,2964,2463,3292,2201
"12042",1953,2314,2194,2373,2067,2820,2015,2686,1887
"12043",377,508,521,525,519,711,552,827,434
"12044",0,2,0,1,5,0,3,4,0
"12045",6,0,17,2,11,10,5,21,11
"12046",0,0,0,0,0,0,0,0,0
"12047",1,2,2,1,0,4,6,5,3
"12048",1989,2293,2575,2267,2101,2966,1948,2406,2028
"12049",1,0,1,0,0,0,0,0,0
"12050",1911,2233,2384,2447,2273,2963,1726,2117,1734
"12051",1151,1460,1200,964,798,967,976,1655,913
"12053",238,214,247,251,236,282,201,305,210
"12054",1234,1162,1308,1427,1310,1510,1169,1279,992
"12055",697,717,745,629,626,639,608,801,544
"12057",0,3,5,1,3,3,6,6,1
"12061",0,0,0,1,3,0,2,0,2
"12062",0,0,0,0,0,1,0,0,0
"12064",5,6,3,6,5,8,6,11,1
"12068",1100,1171,1322,1181,1059,1578,1212,1519,1235
"12069",36,27,35,53,69,55,61,97,64
"12070",946,987,900,755,633,829,1153,1670,1127
"12075",472,526,505,614,591,685,533,720,570
"12091",3485,3523,3956,4333,4103,4883,3584,4443,3463
"12095",121,120,175,79,69,131,88,78,84
"12096",0,0,0,0,0,0,0,0,0
"12097",1,0,0,0,0,0,0,1,0
"12111",2,0,0,2,1,0,3,1,1
"12116",8,2,7,11,4,4,6,5,9
"12121",10,23,10,6,4,5,11,16,7
"12122",525,644,670,684,633,803,639,941,649
"12123",2,0,0,1,5,0,1,3,1
"12124",73,98,120,62,47,68,65,160,113
"12125",214,273,309,312,362,467,364,387,265
"12140",1,0,0,0,0,0,0,1,0
"12142",199,237,268,138,120,167,129,149,107
"12143",1,0,3,0,3,3,1,1,5
"12144",266,335,258,369,326,405,407,562,345
"12145",16,18,29,23,20,23,27,38,22
"12151",768,915,1017,1360,1217,1804,1000,1236,973
"12153",341,376,348,529,570,687,524,635,415
"12154",0,0,0,0,0,0,0,0,0
"12155",0,0,0,0,0,0,0,0,0
"12156",1073,1010,1561,3018,2699,4297,1603,2269,1716
"12159",1,1,3,4,4,5,1,0,1
"12160",0,3,3,1,0,0,2,2,1
"12161",4,1,5,3,1,1,2,4,9
"12162",113,138,107,157,116,150,176,243,127
"12163",125,203,135,116,127,160,75,86,47
"12164",28,59,18,40,51,43,37,55,32
"12165",0,0,0,0,0,0,0,0,0
"12166",2041,3005,2690,2646,2321,3337,2727,3683,2441
"12167",0,0,0,1,0,0,0,0,0
"12168",804,998,1059,899,897,1312,1060,1345,978
"12169",18,22,12,23,16,22,23,19,17
"12173",0,0,0,0,0,0,0,0,0
"12175",590,606,642,761,703,991,754,959,697
"12176",421,428,670,955,902,1690,711,1065,970
"12177",2532,3221,3050,3596,3415,4692,2734,3600,2705
"12180",0,1,0,1,2,1,0,2,1
"12181",2489,2894,2957,2868,2493,3045,2647,3532,2276
"12182",1,16,5,0,2,1,4,4,3
"12183",1906,2259,2113,2322,2168,2623,2080,2657,2249
"12189",402,563,498,652,471,720,765,1009,589
"12190",227,283,224,304,221,384,352,491,263
"12192",1741,2090,1786,1957,1960,2362,1836,3018,1918
"12193",8557,10199,9006,10274,9589,12236,9674,14300,9121
"12209",0,0,0,0,0,0,0,0,0
"12211",2817,3628,3561,3582,3073,4392,3950,4968,3142
"12212",229,330,276,189,269,306,285,426,332
"12215",41943,44200,47674,42454,39979,51182,39435,49914,41456
"12217",543,677,587,584,516,633,578,678,395
"12223",122,177,151,220,245,309,233,251,212
"12224",7403,9294,8212,8822,7663,8636,8165,12674,6911
"12226",7980,9187,9771,11938,11127,14804,9911,13440,9952
"12227",8366,9717,8133,10971,11370,14753,13772,18603,14303
"12228",184,233,181,201,159,225,261,405,221
"12229",18,21,17,17,14,9,26,26,38
"12231",8,5,7,12,4,7,24,37,21
"12234",1049,1097,1204,1044,1014,1289,1036,1271,890
"12235",505,675,529,630,477,757,762,957,587
"12236",1513,1899,1546,1861,1369,1874,1934,2572,1691
"12237",2401,2807,2545,2709,2360,2895,2627,3385,2141
"12238",1583,1649,1858,1890,1754,2391,1819,2227,1912
"12257",3890,4036,4506,3740,3510,4784,3947,4756,4611
"12258",1,4,1,1,0,1,4,2,1
"12259",1267,1101,1101,502,467,487,486,424,252
"12260",1,0,0,1,1,2,1,0,0
"12261",5136,5467,5402,6126,5262,6955,5834,7684,5377
"12262",1,0,0,1,3,0,0,0,0
"12263",135,177,200,66,70,94,147,190,163
"12265",12,13,12,13,17,22,30,30,22
"12266",21,33,20,8,14,10,19,27,18
"12267",1,3,0,3,3,1,7,8,4
"12268",0,1,0,1,0,0,0,1,0
"12269",4,23,10,26,17,33,45,70,59
"12270",4,6,10,8,9,4,5,9,12
"12273",0,0,0,0,0,0,0,0,0
"12274",90,76,83,81,73,65,69,80,76
"12279",5,5,9,17,33,26,15,32,22
"12282",3461,3973,4688,3498,3264,4217,6140,7073,4810
"12283",9097,11852,11122,10346,9240,12867,9729,12319,8871
"12286",322,371,331,389,344,499,386,428,273
"12287",56,66,41,37,38,58,33,30,15
"12288",11,10,16,20,21,29,22,14,11
"12289",45,38,35,37,35,41,35,36,19
"12290",0,0,1,1,0,0,2,0,1
"12291",1,3,9,1,1,1,1,6,8
"12292",1,0,1,1,1,0,1,3,1
"12293",26,23,24,26,32,36,21,31,17
"12294",0,0,0,0,0,0,0,0,0
"12295",55,77,54,24,20,33,71,148,88
"12296",3,1,5,2,3,2,4,1,3
"12297",1509,1494,1474,2060,2255,2411,2370,3754,2406
"12298",40,56,69,44,44,57,56,87,69
"12299",0,0,0,0,0,0,0,0,0
"12300",1,0,0,0,0,1,0,1,0
"12301",1730,2042,1931,2128,1900,2561,2511,3029,2242
"12304",5677,6559,6734,5888,5252,6663,7500,9761,7061
"12305",4343,5408,4781,4352,4296,4743,3885,5247,3599
"12306",20098,26454,22011,32019,27672,38353,24281,31082,26077
"12307",0,0,0,0,0,0,0,0,0
"12308",0,0,0,1,0,0,0,0,0
"12309",2375,2267,3092,390,571,840,356,646,484
"12310",1,1,1,0,0,0,1,2,1
"12311",0,2,0,1,0,1,0,1,0
"12313",44951,53264,51393,53818,47460,62531,48594,65591,50053
"12314",14973,17490,17625,17085,15316,20729,18855,25634,21012
"12315",18575,21482,22559,22315,20051,24782,18659,23772,19128
"12316",395,642,463,525,400,643,549,655,350
"12317",21687,24296,25235,27576,24370,31060,33264,44435,31854
"12319",1996,2234,1984,1873,2000,2176,2095,2823,1843
"12321",5047,5975,5929,5005,4627,6306,5669,7188,5324
"12322",25,39,24,27,26,26,25,35,15
"12323",265,345,333,281,294,381,481,468,327
"12325",496,539,509,550,584,704,497,604,364
"12326",118,130,140,103,82,129,107,123,78
"12328",726,855,930,824,792,1023,903,1159,942
"12330",15099,18880,19736,18145,16287,22723,20444,26304,20301
"12331",9144,12805,10407,11885,9915,11652,10126,14459,8685
"12332",2327,3506,2083,1320,897,1156,1185,1710,1336
"12333",12866,14883,16166,13347,12978,15293,12238,15938,12685
"12334",2249,3227,2504,2978,2955,3429,2641,3262,2693
"12335",14,18,17,23,22,34,22,63,23
"12336",8135,10009,8630,8296,7355,8797,7850,10099,7144
"12337",3619,4648,3858,3655,3282,4125,3945,6040,3693
"12338",13,10,12,15,14,32,17,24,19
"12339",2000,2561,2418,2430,2127,3036,2288,2885,2036
"12340",5576,7272,6839,7015,6110,8286,7282,9719,6414
"12343",7399,9721,8734,7912,7368,10123,7796,10112,7786
"12344",0,0,0,0,0,0,0,0,0
"12345",11557,13975,12903,11665,10258,12415,10606,14299,10286
"12346",712573,856984,800345,805390,694360,966333,681285,853219,692242
"12348",17,26,40,0,4,8,12,29,16
"12349",56381,59808,62975,56280,50628,67831,59518,81536,61500
"12350",58,73,74,23,23,24,49,95,63
"12351",7303,6946,7692,3822,3553,4836,5838,8436,5077
"12352",14,13,16,18,11,30,23,16,13
"12353",1,1,2,0,0,3,0,1,2
"12354",12,8,9,6,11,11,9,13,11
"12355",347,252,373,507,428,686,413,554,499
"12359",4314,5643,5302,5720,5546,6336,5605,7670,5484
