"ENTREZID","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newPadj"
100033459,"Ifi208",3282.67853780265,-0.0277476961004299,0.0902935367672596,-0.307305451684236,0.758610886487823,0.860154685733663,1
100034251,"Wfdc17",11.0403036524879,1.46190067788331,1.15353743512411,1.26731966676575,0.205041011131538,0.361328548958075,1
100038882,"Isg15",738.510656907536,0.697651243424208,0.157489185347975,4.42983587655708,9.43048306013572e-06,6.65625360724137e-05,0.168692480979708
100040462,"Mndal",7827.55324663506,0.147685532399961,0.0629948198516359,2.34440756792046,0.0190573335573881,0.0560784436814512,1
100340,"Smpdl3b",142.341371928453,2.30492307486675,0.371897558614653,6.197736504248,5.7280929222995e-10,7.44372933070363e-09,1.07407470386038e-05
100529082,"Gm11127",64.4857842383215,0.604879293121632,0.46879542275233,1.29028412771256,0.196952025758844,0.350221573678671,1
100534273,"Fer1l5",55.5173893036534,-0.800666040661854,0.49392527475085,-1.62102666454097,0.105011920228655,0.218564460257361,1
100561,"Slc15a4",903.142757760008,0.458182015949256,0.160876836363581,2.84802974937775,0.0043990812164735,0.0161178757513716,1
100702,"Gbp6",1308.00935076422,0.898421059759047,0.119225897898781,7.53545224311733,4.8664527265015e-14,8.93724713532293e-13,9.27107908925801e-10
101142,"Itfg2",873.308560839133,-0.465224838801063,0.128571927948601,-3.61840135886463,0.000296428440042842,0.00150505727002712,1
101476,"Plekha1",2393.72039330156,-0.497983456057112,0.0996241655870683,-4.9986210988326,5.77417387547432e-07,5.07495453406059e-06,0.0105436414966161
101540,"Prkd2",11851.5826446063,-0.0416681289446304,0.0522217847013706,-0.797907026404956,0.424924445592467,0.604597121034438,1
101700,"Trim68",371.180299381705,-0.0864852065470044,0.227163870349405,-0.380717261129509,0.703413059248415,0.824347922911059,1
103213,"Traf3ip2",2212.31371935503,0.18666073364169,0.0956783253984746,1.95091973928576,0.0510665941193109,0.124770184972104,1
104418,"Dgkz",17584.8961488164,-0.185758172152183,0.0584225589386083,-3.17956240751765,0.00147497604743353,0.0062630113504558,1
104709,"Pik3r6",9.29080112140984,1.75504793404178,1.57077349156573,1.1173144590646,0.263859895349382,0.434917045950465,1
104721,"Ddx1",2869.30006784185,0.0334692620264918,0.0893814263855253,0.374454328823644,0.70806632937118,0.827655088726574,1
104759,"Pld4",76.0829452796896,0.451633826371031,0.496417769668833,0.909785777153629,0.362935496801246,0.544811864315583,1
105352,"Dusp22",368.521456443524,0.311460827778116,0.200556919415404,1.55297971611242,0.120427980576647,0.242877970810533,1
105855,"Nckap1l",12148.4366209153,0.125995480395085,0.0570163267090846,2.2098140597158,0.0271180695494629,0.0750135313906615,1
106759,"Ticam1",349.913554128269,0.712490232654953,0.216653479880315,3.28861661049041,0.00100681067423399,0.00444863396913477,1
107035,"Fbxo38",4161.43874777664,-0.0766482054834854,0.0738517838235418,-1.03786532315354,0.29933275968084,0.476480860174861,1
107260,"Otub1",1763.52934469514,0.249295313295379,0.113183676542582,2.20257302917341,0.027624856618767,0.0761468292946082,1
107321,"Lpxn",5300.03512982381,0.428374827427958,0.0648472262640329,6.60590825710541,3.95087514697028e-11,5.71334255255474e-10,7.44937508961246e-07
107338,"Gbf1",3735.62070623037,0.134378642565087,0.0937442900638278,1.43345949362455,0.15172656683736,0.288830713255643,1
107508,"Eprs",5357.40072782184,-0.0529400261591795,0.0699463829002998,-0.756865815844104,0.449130257143863,0.626870950801672,1
107515,"Lgr4",11.030326012213,-0.828917235413227,1.4112711901665,-0.587355032249636,0.556965287971834,0.716935526600547,1
107527,"Il1rl2",37.5151455251988,-0.728366738283843,0.59957848092766,-1.21479799801508,0.22444314460426,0.386328485283836,1
107607,"Nod1",3188.52280555779,-0.93522868364383,0.0908257259575233,-10.296957979518,7.27247589844052e-25,2.79434931279272e-23,1.41304206706699e-20
107746,"Rapgef1",4141.07664399189,-0.0788254192100874,0.0720922653635558,-1.09339634165436,0.274219819090373,0.447621553370708,1
107823,"Nsd2",2123.27263670345,0.959684546353062,0.110956876364745,8.64916693579515,5.18767289773295e-18,1.35622044598968e-16,9.99508937206208e-14
108037,"Shmt2",2410.43630523337,-0.358675106383269,0.0832382500886075,-4.30901786139735,1.63981126027185e-05,0.00011109554640856,0.292033987341813
108067,"Eif2b3",674.81542275848,-0.152959730615113,0.163935477258776,-0.93304837471917,0.350794992262631,0.531955353586715,1
108138,"Xrcc4",496.869040002266,-0.186073660475767,0.174336057390544,-1.06732745515134,0.285823994472809,0.461255303595493,1
108655,"Foxp1",10505.185771927,-1.00503943204589,0.0551707805528879,-18.2168789706072,3.79174462787841e-74,7.12046917232434e-72,7.47201196369719e-70
108660,"Rnf187",8920.91550097792,-0.169635067086614,0.0555653093996713,-3.05289521320686,0.00226645065948018,0.00913224135474439,1
108723,"Card11",3761.27685321967,-0.23466780600156,0.0812427489321569,-2.88847692976912,0.00387112424644418,0.0144172345189498,1
108857,"Ankhd1",5846.69568748079,-0.264275273324334,0.0692830823189428,-3.81442719461801,0.000136499169999012,0.000747410034331346,1
108888,"Atad3a",1439.38880707326,-0.758358675261237,0.108963474110396,-6.95975125107436,3.40874074824932e-12,5.44948925616406e-11,6.45717759940869e-08
109032,"Sp110",3170.85064644596,-0.173702346574009,0.0840285866260078,-2.06718158127685,0.0387170470925332,0.0996493413509458,1
109305,"Orai1",3522.41429857464,0.226667915693485,0.0716135383007648,3.16515453742166,0.00155000602799,0.00655031073571811,1
109815,"Selenos",2627.37955467793,0.215783316982358,0.0817253762201093,2.64034657241826,0.00828212838030433,0.0276964177814391,1
109880,"Braf",1470.95088837689,-0.190204540452122,0.110285167416616,-1.72466112087042,0.0845885615221574,0.185442910682766,1
109905,"Rap1a",3423.12951276635,0.479902842359255,0.100230745526222,4.78798037308528,1.68468119750534e-06,1.37633911803546e-05,0.0305685403287345
109934,"Abr",4467.28200588656,0.820796220148821,0.0980462901070401,8.37151736442789,5.68809879839828e-17,1.36136194284848e-15,1.09325258905215e-12
110279,"Bcr",265.585669916395,0.484302372235449,0.251007954190703,1.92943037919628,0.0536774553403608,0.129864182916536,1
110696,"H2-M10.3",10.0670693623595,0.212957069779664,1.16825503138653,0.182286456345853,0.855357926889543,0.922469242030112,1
11350,"Abl1",1750.12026258302,0.0532853187026722,0.105437347777483,0.50537423243163,0.61329601352719,0.759268548021545,1
114643,"Oas1c",406.64864061309,-0.209707675462737,0.186916412731678,-1.12193291320958,0.261890965203897,0.432688009797219,1
11465,"Actg1",1845.23607358857,0.786812175752353,0.0929682136255475,8.46323861746375,2.60052863349714e-17,6.38542325422052e-16,5.00185677366841e-13
114774,"Pawr",8.261341936011,-0.00793172181271585,1.33394886908234,-0.00594604635646363,0.995255769370124,0.997841015035872,1
11486,"Ada",386.782668900847,0.0144272467760927,0.190383066768504,0.075780094422134,0.939594052930131,0.966279728637751,1
11490,"Adam15",637.2978250712,0.455048813313957,0.149036405735667,3.05327286355145,0.00226360009688295,0.00912351272422623,1
11491,"Adam17",4656.96266738574,0.514740860180437,0.0745705692382241,6.90273475767684,5.10108237162962e-12,8.05280508297149e-11,9.65787925420636e-08
11501,"Adam8",891.452793808433,2.3565225525252,0.159004003300533,14.8205234057607,1.07940094575764e-49,1.14219466744339e-47,2.12113079850835e-45
11513,"Adcy7",9046.34168882728,0.310847565851465,0.0661863819789881,4.69654869411276,2.64594179478478e-06,2.07886517088188e-05,0.0478386276497089
11596,"Ager",52.6772550854925,-0.539064953132725,0.532503959265017,-1.01232102363476,0.311384585905009,0.490082445517013,1
11628,"Aicda",5.88145387381272,0.0636668750025284,1.69026711325312,0.0376667536765796,0.969953383898532,0.982704290844918,1
11634,"Aire",18.4472339271863,0.384667102074926,0.990341482479985,0.388418650415061,0.697706244534813,0.820546187409636,1
11640,"Akap1",134.179695900481,-0.60021520139591,0.391360236479416,-1.53366424447027,0.125112274408451,0.249681478025427,1
11658,"Alcam",847.51163120671,1.68998285237997,0.137390485497496,12.3005814140658,8.99245069761208e-35,5.52517719591068e-33,1.75892335645292e-30
11687,"Alox15",17.4577195910399,0.671017030693613,0.899844660811314,0.745703186246183,0.45584673401165,0.632972766567103,1
11692,"Gfer",605.602458900254,-0.26989090073943,0.153472331999998,-1.75856388719911,0.0786516113121626,0.175260821970038,1
117149,"Tirap",330.351313204884,1.54425270723417,0.228336043511093,6.76307026910163,1.35097670743691e-11,2.0284428423712e-10,2.55185990267757e-07
11727,"Ang",61.672685499066,1.44624521374444,0.494814627881517,2.92280206010955,0.00346896965546773,0.0131359762613892,1
11745,"Anxa3",14.3385812339933,1.95193005056984,1.04985691742214,1.85923435677567,0.062993926925182,0.147744587771751,1
11765,"Ap1g1",3969.5818128127,-0.125149956338328,0.0746828445262149,-1.67575240515107,0.0937867002778674,0.200902715231431,1
11793,"Atg5",2099.58467739103,0.0796119168788461,0.0902619087150886,0.882010119353235,0.377771335008326,0.559460758598912,1
11801,"Cd5l",42.4816112019249,1.36192646994942,0.634039158077527,2.14801633715957,0.0317124576470922,0.0852120511504798,1
11816,"Apoe",494.688510763496,0.29821509136729,0.181850262457363,1.63989365391875,0.101027280586683,0.212359566776328,1
11820,"App",55.2663528979499,0.298314203492707,0.567172570381146,0.525967261238033,0.598910954104612,0.748947641256499,1
11846,"Arg1",14.9491825324972,-1.41999447774141,0.98857530939153,-1.43640495999786,0.150887142598396,0.287602326270823,1
11891,"Rab27a",3020.29368440594,0.796199096077863,0.0885719626026214,8.98929043324934,2.48831676459174e-19,7.01410727744222e-18,4.8034466823679e-15
